# time(ps) MSD_C MSD_Si
1681.5 44652.926761413946224 50651.653490508040704
1682 44605.293005535575503 50607.06845978358615
1682.5 44545.639766309483093 50557.129042755455885
1683 44643.558759609244589 50660.530101439348073
1683.5 44639.59294386626425 50658.723516112680954
1684 44702.983483346717549 50732.43282586344867
1684.5 44742.254691269241448 50775.381306066083198
1685 44732.792308477793995 50766.568871960000251
1685.5 44718.772488260226964 50762.870647431765974
1686 44718.317732715848251 50772.819131277894485
1686.5 44704.560197887672985 50754.332236352871405
1687 44707.654991081828484 50773.660644072799187
1687.5 44814.676775954700133 50884.491529640916269
1688 44805.137202137470013 50875.493676275385951
1688.5 44774.582972273310588 50847.884239362523658
1689 44829.086644150840584 50918.823670004872838
1689.5 44900.336337129308959 50988.179508193803485
1690 44893.554427484137705 50980.519100191559119
1690.5 44934.310964073476498 51027.032498839129403
1691 44914.159592731310113 51004.371482047921745
1691.5 45024.831906447761867 51119.641297232235956
1692 44973.38897322480625 51053.802780603888095
1692.5 45073.959723552441574 51163.359122443449451
1693 45089.474398276346619 51203.732393243641127
1693.5 45086.310372364525392 51210.397675721367705
1694 45158.102108987259271 51289.189845519642404
1694.5 45270.203258400331833 51415.112198806673405
1695 45252.930727282837324 51404.220362946012756
1695.5 45258.528706988530757 51424.538772693864303
1696 45353.984669189718261 51526.600863044986909
1696.5 45420.241128610774467 51593.366335932507354
1697 45416.90184492701519 51597.675056797510479
1697.5 45323.072467236568627 51521.080897182975605
1698 45304.845187846171029 51506.715131975164695
1698.5 45314.257520480663516 51529.018188477159129
1699 45271.202659954171395 51494.797729651960253
1699.5 45246.029790260603477 51464.678632919079973
1700 45207.006476794333139 51436.243786986597115
1700.5 45273.3777205092847 51516.141034102372942
1701 45308.507106182507414 51557.031517946226813
1701.5 45391.061863090893894 51658.888041635967966
1702 45434.424296483775834 51697.777054822494392
1702.5 45354.328399877435004 51614.34994082654157
1703 45344.928869890034548 51625.357128592695517
1703.5 45389.599567230739922 51681.365497620812675
1704 45493.335969533989555 51786.880150566306838
1704.5 45554.885702613384638 51861.088605502503924
1705 45516.478146137953445 51824.335973286055378
1705.5 45441.733977726187732 51766.152722120903491
1706 45429.426533301062591 51768.973824995853647
1706.5 45403.171314701845404 51740.464200232185249
1707 45314.095466510290862 51656.076790509541752
1707.5 45236.810825382919575 51585.721175257589493
1708 45228.792005384828371 51585.104000840459776
1708.5 45275.394700494369317 51644.146424334656331
1709 45295.571408951815101 51669.175628003416932
1709.5 45418.306188699112681 51786.377128752174031
1710 45471.567460421545547 51852.211834989633644
1710.5 45394.344382384595519 51786.753732310658961
1711 45366.141977384657366 51759.434705310995923
1711.5 45254.923187338172283 51666.408721513238561
1712 45335.242930668129702 51749.208682634329307
1712.5 45257.625581734711886 51666.248305689434346
1713 45386.89485413114744 51808.80885842940188
1713.5 45377.7868168083005 51814.908268073762883
1714 45414.568224819311581 51847.600244019253296
1714.5 45457.652585793315666 51886.186558572764625
1715 45410.077205579633301 51846.514105581620242
1715.5 45378.688700650724059 51815.480320963732083
1716 45455.275450670458667 51900.051183110779675
1716.5 45339.055352761715767 51800.452201388347021
1717 45381.934946391615085 51852.3591469460589
1717.5 45474.3183870967041 51953.555746950536559
1718 45416.136309324436297 51889.066814663965488
1718.5 45455.351464119863522 51917.160693021913175
1719 45504.300938471453264 51977.15874471628922
1719.5 45605.862336486192362 52074.371486078409362
1720 45580.97405820802669 52057.165208373859059
1720.5 45475.083307812536077 51956.50147469220974
1721 45558.301271036012622 52061.949029315859661
1721.5 45565.148708307104243 52052.079199309759133
1722 45565.196081143782067 52056.907743301570008
1722.5 45510.23409479327529 52011.028513219207525
1723 45591.288512923892995 52102.420600517565617
1723.5 45585.652630872304144 52080.166348517581355
1724 45715.44276605322375 52229.696814085400547
1724.5 45753.460926957406627 52261.82324241760216
1725 45696.659665092651267 52214.822283078916371
1725.5 45794.38112804893899 52314.939113204411115
1726 45724.619040748213592 52246.698766120600339
1726.5 45758.122134861710947 52295.996211985242553
1727 45713.21011684241239 52239.445725548583141
1727.5 45821.721792574913707 52374.426313126597961
1728 45881.59028135673725 52438.784827122894058
1728.5 45890.006455374124926 52456.169584096387553
1729 45928.716423807520187 52497.536319119833934
1729.5 45949.594052660366287 52522.695534608406888
1730 45947.879216254412313 52531.997825223312248
1730.5 45915.147883638142957 52497.939186787465587
1731 46026.105475278840458 52622.031986352849344
1731.5 46032.645490156799497 52604.49063888299861
1732 46032.451590960728936 52614.616764141486783
1732.5 46072.274228790811321 52651.015855664467381
1733 46140.595490873347444 52743.234023845434422
1733.5 46098.15621463428397 52701.092355661676265
1734 46167.278440201283956 52764.446629730249697
1734.5 46068.979217835811141 52679.753797223027505
1735 45979.536733307875693 52615.251413690006302
1735.5 45946.576601381311775 52601.512416825484252
1736 45864.935522542706167 52528.955833713960601
1736.5 45940.520417657658982 52601.649011863737542
1737 45984.061295338724449 52644.07654983647808
1737.5 46063.032419661547465 52739.57448237445351
1738 46065.310899873657036 52744.915361830309848
1738.5 46034.42989124891028 52713.909726017693174
1739 45985.920439139023074 52679.632769548472425
1739.5 45928.224697946039669 52637.300104351532354
1740 45949.648975456024345 52659.499137485770916
1740.5 45959.423171844871831 52679.872439557191683
1741 45973.007301986443053 52698.623355032708787
1741.5 46060.047825409950747 52792.676619453079184
1742 46087.978739154292271 52831.985816159569367
1742.5 46213.113812366129423 52951.657672541812644
1743 46227.040038138635282 52976.010504969519388
1743.5 46281.072392044290609 53042.722376286648796
1744 46262.483313572680345 53028.993573680658301
1744.5 46273.647020423828508 53050.041599825366575
1745 46295.392908935777086 53066.636650234904664
1745.5 46271.06996665992483 53058.273317635954299
1746 46227.371895546784799 53011.087569114235521
1746.5 46255.930199486363563 53063.833505710143072
1747 46224.358526009847992 53032.69336992566241
1747.5 46127.853447300549306 52940.784505587427702
1748 46211.167728740547318 53026.310369320111931
1748.5 46242.849255932123924 53073.647677406646835
1749 46250.035843081204803 53089.579334384383401
1749.5 46179.319980246073101 53004.104646624313318
1750 46122.572682650432398 52952.149516515055439
1750.5 46096.758421637052379 52944.961744980071671
1751 46163.943517790852638 53021.417245109623764
1751.5 46235.334420263927313 53105.378826959204162
1752 46244.526008848908532 53126.491151086578611
1752.5 46174.078150360634027 53048.609023131983122
1753 46236.763074192720524 53122.013513901547412
1753.5 46154.600175134284655 53031.062025412567891
1754 46206.298054245227831 53104.749520710116485
1754.5 46151.784649784603971 53049.373110811808147
1755 46184.659133531131374 53103.645913438296702
1755.5 46271.00980042219453 53200.696285004007223
1756 46281.53303365893953 53210.562032575166086
1756.5 46316.850460592795571 53255.148500435017922
1757 46428.984865664562676 53380.751977971347515
1757.5 46309.352424970471475 53252.86836375889834
1758 46393.423929747492366 53344.402283521012578
1758.5 46416.164112716629461 53378.180915050652402
1759 46469.640956092152919 53447.113018523261417
1759.5 46477.83477578379825 53450.017460648712586
